sport,medal,sex,country_noc,avg_height,avg_weight,timestamp
Swimming,nan,Male,ANZ,170.0,65.0,2024-12-18 03:12:58
Rowing,nan,Male,ANZ,189.0,85.0,2024-12-18 03:12:58
Swimming,Silver,Male,ANZ,170.0,65.0,2024-12-18 03:12:58
Athletics,Bronze,Male,ANZ,184.0,76.0,2024-12-18 03:12:58
Swimming,Bronze,Male,ANZ,170.0,65.0,2024-12-18 03:12:58
Rugby,Gold,Male,ANZ,175.0,75.0,2024-12-18 03:12:58
Athletics,nan,Male,ANZ,170.83333333333334,66.0,2024-12-18 03:12:58
Tennis,Bronze,Male,ANZ,188.0,84.0,2024-12-18 03:12:58
Boxing,nan,Male,ANZ,167.0,62.0,2024-12-18 03:12:58
Swimming,nan,Male,ASA,181.5,80.5,2024-12-18 03:13:18
Athletics,nan,Male,ASA,178.8,76.4,2024-12-18 03:13:18
Sailing,nan,Male,ARU,184.0,88.0,2024-12-18 03:13:18
Archery,nan,Male,BHU,168.64705882352942,63.76470588235294,2024-12-18 03:13:18
Athletics,nan,Female,ANT,172.0,53.857142857142854,2024-12-18 03:13:18
Wrestling,nan,Male,ASA,184.0,107.5,2024-12-18 03:13:18
CyclingRoad,nan,Male,ARU,172.66666666666666,73.66666666666667,2024-12-18 03:13:18
Athletics,nan,Male,BAN,169.7826086956522,63.391304347826086,2024-12-18 03:13:18
Weightlifting,nan,Male,ASA,179.33333333333334,101.0,2024-12-18 03:13:18
Golf,nan,Male,BAN,165.0,84.0,2024-12-18 03:13:18
Weightlifting,nan,Male,ARU,173.33333333333334,5179.333333333333,2024-12-18 03:13:18
Shooting,nan,Male,ARU,172.0,65.0,2024-12-18 03:13:18
Boxing,nan,Male,ARU,174.5,76.0,2024-12-18 03:13:18
Archery,nan,Male,BAN,174.0,60.0,2024-12-18 03:13:18
Taekwondo,nan,Female,ARU,171.0,49.0,2024-12-18 03:13:18
Judo,nan,Male,ASA,172.0,71.0,2024-12-18 03:13:18
Swimming,nan,Female,BAN,158.0,53.0,2024-12-18 03:13:18
Athletics,nan,Female,ARU,162.4,56.8,2024-12-18 03:13:18
Athletics,nan,Female,BAN,158.0,50.5,2024-12-18 03:13:18
ArtisticGymnastics,nan,Male,BAN,158.0,58.0,2024-12-18 03:13:18
Shooting,nan,Female,BAN,154.0,53.666666666666664,2024-12-18 03:13:18
Shooting,nan,Male,BAN,169.75,68.5,2024-12-18 03:13:18
Swimming,nan,Male,BAN,168.85714285714286,64.85714285714286,2024-12-18 03:13:18
Bobsleigh,nan,Male,ASA,178.0,84.0,2024-12-18 03:13:18
Swimming,nan,Male,ARU,183.85714285714286,80.57142857142857,2024-12-18 03:13:18
Swimming,nan,Female,ASA,163.0,61.0,2024-12-18 03:13:18
Athletics,nan,Male,ANT,178.6206896551724,69.6896551724138,2024-12-18 03:13:18
Archery,nan,Male,ASA,185.0,113.0,2024-12-18 03:13:18
CyclingTrack,nan,Male,ANT,178.0,74.0,2024-12-18 03:13:18
Judo,nan,Female,ASA,170.0,59.0,2024-12-18 03:13:18
Archery,nan,Female,BHU,163.8181818181818,53.45454545454545,2024-12-18 03:13:18
Athletics,nan,Male,ARU,179.5,73.0,2024-12-18 03:13:18
Judo,nan,Male,ARU,174.8,73.4,2024-12-18 03:13:18
ArtisticSwimming,nan,Female,ARU,166.0,58.0,2024-12-18 03:13:18
Shooting,nan,Female,BHU,162.66666666666666,62.333333333333336,2024-12-18 03:13:18
Athletics,nan,Female,ASA,169.0,86.75,2024-12-18 03:13:18
Swimming,nan,Female,ARU,167.4,58.6,2024-12-18 03:13:18
Fencing,nan,Male,ARU,186.0,85.0,2024-12-18 03:13:18
Sailing,nan,Female,ARU,169.5,63.5,2024-12-18 03:13:18
